Simulation started: 14:50:07.959749300
Task number: 1000
Queue number: 20
Time limit: 200
Tasks:
Task{ID=242, arrivalTime=10, serviceTime=8}
Task{ID=89, arrivalTime=35, serviceTime=7}
Task{ID=156, arrivalTime=35, serviceTime=4}
Task{ID=299, arrivalTime=35, serviceTime=5}
Task{ID=315, arrivalTime=35, serviceTime=6}
Task{ID=345, arrivalTime=35, serviceTime=3}
Task{ID=362, arrivalTime=35, serviceTime=8}
Task{ID=379, arrivalTime=35, serviceTime=4}
Task{ID=459, arrivalTime=35, serviceTime=5}
Task{ID=571, arrivalTime=35, serviceTime=4}
Task{ID=639, arrivalTime=35, serviceTime=7}
Task{ID=868, arrivalTime=35, serviceTime=8}
Task{ID=963, arrivalTime=35, serviceTime=4}
Task{ID=9, arrivalTime=36, serviceTime=6}
Task{ID=21, arrivalTime=36, serviceTime=7}
Task{ID=23, arrivalTime=36, serviceTime=4}
Task{ID=148, arrivalTime=36, serviceTime=7}
Task{ID=495, arrivalTime=36, serviceTime=5}
Task{ID=534, arrivalTime=36, serviceTime=6}
Task{ID=611, arrivalTime=36, serviceTime=7}
Task{ID=619, arrivalTime=36, serviceTime=7}
Task{ID=623, arrivalTime=36, serviceTime=8}
Task{ID=663, arrivalTime=36, serviceTime=8}
Task{ID=787, arrivalTime=36, serviceTime=7}
Task{ID=795, arrivalTime=36, serviceTime=3}
Task{ID=915, arrivalTime=36, serviceTime=8}
Task{ID=46, arrivalTime=37, serviceTime=8}
Task{ID=194, arrivalTime=37, serviceTime=8}
Task{ID=239, arrivalTime=37, serviceTime=3}
Task{ID=368, arrivalTime=37, serviceTime=5}
Task{ID=461, arrivalTime=37, serviceTime=4}
Task{ID=481, arrivalTime=37, serviceTime=4}
Task{ID=542, arrivalTime=37, serviceTime=6}
Task{ID=547, arrivalTime=37, serviceTime=6}
Task{ID=616, arrivalTime=37, serviceTime=7}
Task{ID=618, arrivalTime=37, serviceTime=3}
Task{ID=718, arrivalTime=37, serviceTime=4}
Task{ID=890, arrivalTime=37, serviceTime=5}
Task{ID=932, arrivalTime=37, serviceTime=6}
Task{ID=74, arrivalTime=38, serviceTime=8}
Task{ID=216, arrivalTime=38, serviceTime=4}
Task{ID=290, arrivalTime=38, serviceTime=5}
Task{ID=470, arrivalTime=38, serviceTime=7}
Task{ID=507, arrivalTime=38, serviceTime=3}
Task{ID=519, arrivalTime=38, serviceTime=3}
Task{ID=539, arrivalTime=38, serviceTime=5}
Task{ID=561, arrivalTime=38, serviceTime=5}
Task{ID=585, arrivalTime=38, serviceTime=4}
Task{ID=823, arrivalTime=38, serviceTime=8}
Task{ID=865, arrivalTime=38, serviceTime=6}
Task{ID=887, arrivalTime=38, serviceTime=4}
Task{ID=986, arrivalTime=38, serviceTime=6}
Task{ID=993, arrivalTime=38, serviceTime=6}
Task{ID=103, arrivalTime=39, serviceTime=5}
Task{ID=192, arrivalTime=39, serviceTime=7}
Task{ID=255, arrivalTime=39, serviceTime=6}
Task{ID=334, arrivalTime=39, serviceTime=7}
Task{ID=437, arrivalTime=39, serviceTime=5}
Task{ID=451, arrivalTime=39, serviceTime=5}
Task{ID=494, arrivalTime=39, serviceTime=5}
Task{ID=530, arrivalTime=39, serviceTime=7}
Task{ID=658, arrivalTime=39, serviceTime=8}
Task{ID=702, arrivalTime=39, serviceTime=3}
Task{ID=738, arrivalTime=39, serviceTime=5}
Task{ID=819, arrivalTime=39, serviceTime=6}
Task{ID=842, arrivalTime=39, serviceTime=7}
Task{ID=20, arrivalTime=40, serviceTime=4}
Task{ID=114, arrivalTime=40, serviceTime=5}
Task{ID=257, arrivalTime=40, serviceTime=6}
Task{ID=293, arrivalTime=40, serviceTime=8}
Task{ID=475, arrivalTime=40, serviceTime=4}
Task{ID=567, arrivalTime=40, serviceTime=4}
Task{ID=647, arrivalTime=40, serviceTime=3}
Task{ID=745, arrivalTime=40, serviceTime=5}
Task{ID=754, arrivalTime=40, serviceTime=3}
Task{ID=907, arrivalTime=40, serviceTime=4}
Task{ID=60, arrivalTime=41, serviceTime=5}
Task{ID=150, arrivalTime=41, serviceTime=3}
Task{ID=165, arrivalTime=41, serviceTime=6}
Task{ID=310, arrivalTime=41, serviceTime=4}
Task{ID=369, arrivalTime=41, serviceTime=4}
Task{ID=544, arrivalTime=41, serviceTime=5}
Task{ID=599, arrivalTime=41, serviceTime=8}
Task{ID=642, arrivalTime=41, serviceTime=7}
Task{ID=753, arrivalTime=41, serviceTime=5}
Task{ID=886, arrivalTime=41, serviceTime=5}
Task{ID=964, arrivalTime=41, serviceTime=6}
Task{ID=7, arrivalTime=42, serviceTime=8}
Task{ID=26, arrivalTime=42, serviceTime=5}
Task{ID=65, arrivalTime=42, serviceTime=5}
Task{ID=217, arrivalTime=42, serviceTime=8}
Task{ID=222, arrivalTime=42, serviceTime=4}
Task{ID=292, arrivalTime=42, serviceTime=6}
Task{ID=365, arrivalTime=42, serviceTime=7}
Task{ID=390, arrivalTime=42, serviceTime=8}
Task{ID=417, arrivalTime=42, serviceTime=6}
Task{ID=418, arrivalTime=42, serviceTime=4}
Task{ID=434, arrivalTime=42, serviceTime=4}
Task{ID=711, arrivalTime=42, serviceTime=7}
Task{ID=801, arrivalTime=42, serviceTime=6}
Task{ID=892, arrivalTime=42, serviceTime=7}
Task{ID=914, arrivalTime=42, serviceTime=3}
Task{ID=968, arrivalTime=42, serviceTime=6}
Task{ID=72, arrivalTime=43, serviceTime=8}
Task{ID=113, arrivalTime=43, serviceTime=4}
Task{ID=139, arrivalTime=43, serviceTime=8}
Task{ID=199, arrivalTime=43, serviceTime=4}
Task{ID=268, arrivalTime=43, serviceTime=3}
Task{ID=360, arrivalTime=43, serviceTime=5}
Task{ID=449, arrivalTime=43, serviceTime=4}
Task{ID=450, arrivalTime=43, serviceTime=8}
Task{ID=493, arrivalTime=43, serviceTime=4}
Task{ID=525, arrivalTime=43, serviceTime=4}
Task{ID=656, arrivalTime=43, serviceTime=6}
Task{ID=769, arrivalTime=43, serviceTime=8}
Task{ID=921, arrivalTime=43, serviceTime=4}
Task{ID=974, arrivalTime=43, serviceTime=6}
Task{ID=13, arrivalTime=44, serviceTime=5}
Task{ID=140, arrivalTime=44, serviceTime=6}
Task{ID=142, arrivalTime=44, serviceTime=3}
Task{ID=176, arrivalTime=44, serviceTime=7}
Task{ID=237, arrivalTime=44, serviceTime=3}
Task{ID=251, arrivalTime=44, serviceTime=6}
Task{ID=374, arrivalTime=44, serviceTime=4}
Task{ID=399, arrivalTime=44, serviceTime=7}
Task{ID=469, arrivalTime=44, serviceTime=8}
Task{ID=546, arrivalTime=44, serviceTime=6}
Task{ID=580, arrivalTime=44, serviceTime=8}
Task{ID=728, arrivalTime=44, serviceTime=5}
Task{ID=895, arrivalTime=44, serviceTime=7}
Task{ID=38, arrivalTime=45, serviceTime=3}
Task{ID=82, arrivalTime=45, serviceTime=3}
Task{ID=155, arrivalTime=45, serviceTime=3}
Task{ID=261, arrivalTime=45, serviceTime=6}
Task{ID=295, arrivalTime=45, serviceTime=3}
Task{ID=305, arrivalTime=45, serviceTime=3}
Task{ID=410, arrivalTime=45, serviceTime=7}
Task{ID=685, arrivalTime=45, serviceTime=3}
Task{ID=822, arrivalTime=45, serviceTime=7}
Task{ID=967, arrivalTime=45, serviceTime=3}
Task{ID=254, arrivalTime=46, serviceTime=8}
Task{ID=357, arrivalTime=46, serviceTime=3}
Task{ID=361, arrivalTime=46, serviceTime=5}
Task{ID=444, arrivalTime=46, serviceTime=4}
Task{ID=533, arrivalTime=46, serviceTime=5}
Task{ID=584, arrivalTime=46, serviceTime=4}
Task{ID=739, arrivalTime=46, serviceTime=7}
Task{ID=840, arrivalTime=46, serviceTime=8}
Task{ID=49, arrivalTime=47, serviceTime=6}
Task{ID=206, arrivalTime=47, serviceTime=5}
Task{ID=351, arrivalTime=47, serviceTime=3}
Task{ID=386, arrivalTime=47, serviceTime=5}
Task{ID=592, arrivalTime=47, serviceTime=4}
Task{ID=606, arrivalTime=47, serviceTime=4}
Task{ID=682, arrivalTime=47, serviceTime=4}
Task{ID=697, arrivalTime=47, serviceTime=7}
Task{ID=720, arrivalTime=47, serviceTime=6}
Task{ID=918, arrivalTime=47, serviceTime=7}
Task{ID=62, arrivalTime=48, serviceTime=6}
Task{ID=111, arrivalTime=48, serviceTime=7}
Task{ID=196, arrivalTime=48, serviceTime=6}
Task{ID=425, arrivalTime=48, serviceTime=6}
Task{ID=428, arrivalTime=48, serviceTime=5}
Task{ID=457, arrivalTime=48, serviceTime=5}
Task{ID=463, arrivalTime=48, serviceTime=7}
Task{ID=511, arrivalTime=48, serviceTime=6}
Task{ID=537, arrivalTime=48, serviceTime=8}
Task{ID=543, arrivalTime=48, serviceTime=3}
Task{ID=609, arrivalTime=48, serviceTime=4}
Task{ID=662, arrivalTime=48, serviceTime=7}
Task{ID=706, arrivalTime=48, serviceTime=8}
Task{ID=765, arrivalTime=48, serviceTime=3}
Task{ID=773, arrivalTime=48, serviceTime=5}
Task{ID=792, arrivalTime=48, serviceTime=6}
Task{ID=849, arrivalTime=48, serviceTime=6}
Task{ID=872, arrivalTime=48, serviceTime=4}
Task{ID=917, arrivalTime=48, serviceTime=3}
Task{ID=934, arrivalTime=48, serviceTime=4}
Task{ID=969, arrivalTime=48, serviceTime=4}
Task{ID=5, arrivalTime=49, serviceTime=8}
Task{ID=256, arrivalTime=49, serviceTime=7}
Task{ID=326, arrivalTime=49, serviceTime=6}
Task{ID=378, arrivalTime=49, serviceTime=5}
Task{ID=427, arrivalTime=49, serviceTime=3}
Task{ID=488, arrivalTime=49, serviceTime=7}
Task{ID=566, arrivalTime=49, serviceTime=3}
Task{ID=583, arrivalTime=49, serviceTime=5}
Task{ID=691, arrivalTime=49, serviceTime=7}
Task{ID=938, arrivalTime=49, serviceTime=3}
Task{ID=954, arrivalTime=49, serviceTime=4}
Task{ID=980, arrivalTime=49, serviceTime=7}
Task{ID=3, arrivalTime=50, serviceTime=7}
Task{ID=16, arrivalTime=50, serviceTime=5}
Task{ID=73, arrivalTime=50, serviceTime=7}
Task{ID=107, arrivalTime=50, serviceTime=4}
Task{ID=431, arrivalTime=50, serviceTime=6}
Task{ID=503, arrivalTime=50, serviceTime=7}
Task{ID=527, arrivalTime=50, serviceTime=8}
Task{ID=557, arrivalTime=50, serviceTime=8}
Task{ID=780, arrivalTime=50, serviceTime=4}
Task{ID=909, arrivalTime=50, serviceTime=4}
Task{ID=950, arrivalTime=50, serviceTime=8}
Task{ID=953, arrivalTime=50, serviceTime=8}
Task{ID=79, arrivalTime=51, serviceTime=8}
Task{ID=110, arrivalTime=51, serviceTime=4}
Task{ID=160, arrivalTime=51, serviceTime=3}
Task{ID=162, arrivalTime=51, serviceTime=7}
Task{ID=197, arrivalTime=51, serviceTime=3}
Task{ID=200, arrivalTime=51, serviceTime=4}
Task{ID=492, arrivalTime=51, serviceTime=5}
Task{ID=509, arrivalTime=51, serviceTime=7}
Task{ID=570, arrivalTime=51, serviceTime=6}
Task{ID=577, arrivalTime=51, serviceTime=5}
Task{ID=628, arrivalTime=51, serviceTime=8}
Task{ID=686, arrivalTime=51, serviceTime=4}
Task{ID=690, arrivalTime=51, serviceTime=5}
Task{ID=764, arrivalTime=51, serviceTime=3}
Task{ID=894, arrivalTime=51, serviceTime=4}
Task{ID=900, arrivalTime=51, serviceTime=7}
Task{ID=29, arrivalTime=52, serviceTime=8}
Task{ID=101, arrivalTime=52, serviceTime=3}
Task{ID=118, arrivalTime=52, serviceTime=8}
Task{ID=182, arrivalTime=52, serviceTime=7}
Task{ID=211, arrivalTime=52, serviceTime=7}
Task{ID=272, arrivalTime=52, serviceTime=4}
Task{ID=346, arrivalTime=52, serviceTime=6}
Task{ID=529, arrivalTime=52, serviceTime=7}
Task{ID=541, arrivalTime=52, serviceTime=6}
Task{ID=587, arrivalTime=52, serviceTime=6}
Task{ID=730, arrivalTime=52, serviceTime=7}
Task{ID=863, arrivalTime=52, serviceTime=7}
Task{ID=931, arrivalTime=52, serviceTime=4}
Task{ID=979, arrivalTime=52, serviceTime=6}
Task{ID=984, arrivalTime=52, serviceTime=8}
Task{ID=30, arrivalTime=53, serviceTime=6}
Task{ID=172, arrivalTime=53, serviceTime=7}
Task{ID=244, arrivalTime=53, serviceTime=3}
Task{ID=267, arrivalTime=53, serviceTime=8}
Task{ID=497, arrivalTime=53, serviceTime=3}
Task{ID=723, arrivalTime=53, serviceTime=8}
Task{ID=729, arrivalTime=53, serviceTime=8}
Task{ID=733, arrivalTime=53, serviceTime=4}
Task{ID=925, arrivalTime=53, serviceTime=7}
Task{ID=983, arrivalTime=53, serviceTime=4}
Task{ID=136, arrivalTime=54, serviceTime=3}
Task{ID=226, arrivalTime=54, serviceTime=5}
Task{ID=286, arrivalTime=54, serviceTime=3}
Task{ID=313, arrivalTime=54, serviceTime=8}
Task{ID=477, arrivalTime=54, serviceTime=3}
Task{ID=620, arrivalTime=54, serviceTime=7}
Task{ID=631, arrivalTime=54, serviceTime=3}
Task{ID=707, arrivalTime=54, serviceTime=5}
Task{ID=804, arrivalTime=54, serviceTime=8}
Task{ID=820, arrivalTime=54, serviceTime=7}
Task{ID=973, arrivalTime=54, serviceTime=7}
Task{ID=1, arrivalTime=55, serviceTime=3}
Task{ID=14, arrivalTime=55, serviceTime=8}
Task{ID=34, arrivalTime=55, serviceTime=4}
Task{ID=63, arrivalTime=55, serviceTime=6}
Task{ID=120, arrivalTime=55, serviceTime=3}
Task{ID=359, arrivalTime=55, serviceTime=4}
Task{ID=393, arrivalTime=55, serviceTime=3}
Task{ID=508, arrivalTime=55, serviceTime=8}
Task{ID=636, arrivalTime=55, serviceTime=7}
